ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Volume_Avg,Volume_Avg_lower,Volume_Avg_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-10-02,205.41303968800565,196.89696693046923,214.63936269328028,199.167309385697,211.45948312873134,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.10764878997684266,0.10764878997684266,0.10764878997684266,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.5010810541302436,0.5010810541302436,0.5010810541302436,-0.3181252814356053,-0.3181252814356053,-0.3181252814356053,0.0,0.0,0.0,205.5206884779825
2025-10-03,205.63129237916596,196.37376132922998,214.38769829721065,199.33753683179074,211.73979979018142,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.048109306437409814,0.048109306437409814,0.048109306437409814,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.38216578650931327,0.38216578650931327,0.38216578650931327,-0.25874949735410785,-0.25874949735410785,-0.25874949735410785,0.0,0.0,0.0,205.67940168560335
2025-10-04,205.84954507032623,195.31889276929243,213.6071376120421,199.5077642778845,212.01731474230712,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-1.2698459998001115,-1.2698459998001115,-1.2698459998001115,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-0.9830126673208938,-0.9830126673208938,-0.9830126673208938,-0.21152634976142207,-0.21152634976142207,-0.21152634976142207,0.0,0.0,0.0,204.57969907052612
2025-10-05,206.06779776148664,195.95145697812404,214.03715352336306,199.6813900525326,212.2692710915544,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-1.2350649633349553,-1.2350649633349553,-1.2350649633349553,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-0.9830139350929955,-0.9830139350929955,-0.9830139350929955,-0.17674404552416437,-0.17674404552416437,-0.17674404552416437,0.0,0.0,0.0,204.83273279815168
2025-10-06,206.28605045264692,197.24031056757406,215.95482734684083,199.85364195822075,212.52054271823312,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.1539399422737924,0.1539399422737924,0.1539399422737924,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.3835268146386078,0.3835268146386078,0.3835268146386078,-0.15427988964701986,-0.15427988964701986,-0.15427988964701986,0.0,0.0,0.0,206.4399903949207
2025-10-07,206.5043031438072,197.03782936189828,215.64479668456872,200.0199889136727,212.80559963250303,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.10134966976851617,0.10134966976851617,0.10134966976851617,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.3202801743022108,0.3202801743022108,0.3202801743022108,-0.143623521815899,-0.143623521815899,-0.143623521815899,0.0,0.0,0.0,206.60565281357572
2025-10-08,206.7225558349676,197.68337297997817,215.98812833238674,200.18867406225968,213.0782904394244,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.15975599245053312,0.15975599245053312,0.15975599245053312,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.3789727728331885,0.3789727728331885,0.3789727728331885,-0.14390979766485973,-0.14390979766485973,-0.14390979766485973,0.0,0.0,0.0,206.88231182741814
2025-10-09,206.94080852612788,197.84025881281053,216.16360008472634,200.35912585209851,213.34163924107963,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.27181400598348787,0.27181400598348787,0.27181400598348787,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.5010810541291892,0.5010810541291892,0.5010810541291892,-0.15396006542790575,-0.15396006542790575,-0.15396006542790575,0.0,0.0,0.0,207.21262253211137
2025-10-10,207.15906121728818,197.69485171094186,216.86806583249958,200.53811448595977,213.6320251128127,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.1345284049246208,0.1345284049246208,0.1345284049246208,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.3821657865082787,0.3821657865082787,0.3821657865082787,-0.17233039886586238,-0.17233039886586238,-0.17233039886586238,0.0,0.0,0.0,207.2935896222128
2025-10-11,207.3773139084486,196.92749622207373,215.31168421974843,200.70565293045308,213.92702748032139,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-1.2556848540921401,-1.2556848540921401,-1.2556848540921401,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-0.9830126673224829,-0.9830126673224829,-0.9830126673224829,-0.19736520405186148,-0.19736520405186148,-0.19736520405186148,0.0,0.0,0.0,206.12162905435645
